,0,1,2,3
531,678,324274,25,0
532,679,324274,6,0
533,680,344033,11,0
534,681,344033,3,0
535,682,344033,3,0
536,683,344033,15,0
537,684,344033,4,0
538,685,324275,14,0
539,686,324275,12,0
540,687,324275,15,0
541,688,344034,2,0
542,689,344034,3,0
543,690,344034,2,0
544,691,324346,11,0
545,692,324346,11,0
546,693,324346,14,0
547,694,324346,12,0
548,695,324346,15,0
549,696,506799,12,0
550,697,506799,8,0
551,698,506799,9,0
552,699,506799,9,0
553,700,506799,8,0
554,701,506799,7,0
555,702,506799,12,0
556,703,506799,15,0
557,704,506799,4,0
558,705,506799,11,0
559,706,506799,0,10
560,707,330413,6,0
561,708,330413,7,0
562,709,330413,9,0
563,710,330413,38,0
564,711,330413,6,0
565,712,330413,3,0
566,713,324345,15,0
567,714,324345,11,0
568,715,324345,5,0
569,716,324345,4,0
570,717,506834,2,0
571,718,506834,13,0
572,719,506834,21,0
573,720,506834,26,0
574,721,506834,4,0
575,722,342451,18,0
576,723,342451,10,0
577,724,342451,17,0
578,725,342451,20,0
579,726,342451,19,0
580,727,342449,21,0
581,728,342449,19,0
582,729,342449,18,0
583,730,342449,18,0
584,731,342449,17,0
585,732,342447,24,0
586,733,342447,27,0
587,734,342447,22,0
588,735,342447,21,0
589,736,342447,9,0
590,737,342450,17,0
591,738,342450,17,0
592,739,342450,19,0
593,740,342450,28,0
594,741,342450,21,0
595,747,342448,11,0
596,748,342448,23,0
597,749,342448,28,0
598,750,342448,7,0
599,751,342448,33,0
600,752,342446,30,0
601,753,342446,5,0
602,754,342446,26,0
603,755,342446,27,0
604,756,342446,22,0
605,757,506915,2,0
606,758,506915,2,0
607,759,506894,2,0
608,760,506894,3,0
609,761,506894,4,0
610,762,506894,3,0
611,763,507002,3,0
612,764,507002,12,0
613,765,507002,17,0
614,766,507002,15,0
615,767,104039,2,0
616,768,104039,3,0
617,769,104039,3,0
618,770,104039,6,0
619,771,104039,6,0
620,772,104039,6,0
621,773,104039,6,0
622,774,506912,18,0
623,775,506912,13,0
624,776,506912,25,0
625,777,506912,25,0
626,778,506912,22,0
627,779,506912,25,0
628,780,506912,21,0
629,781,506912,19,0
630,782,104054,3,0
631,783,104054,3,0
632,784,104054,3,0
633,785,506891,4,0
634,786,506891,4,0
635,787,506891,19,0
636,788,506891,4,0
637,789,506891,4,0
638,790,506891,24,0
639,791,506891,27,0
640,792,506891,20,0
641,793,342425,0,3
642,794,342425,19,0
643,795,342425,5,0
644,796,342425,12,0
645,797,104076,26,0
646,798,104076,13,0
647,799,104076,7,0
648,800,104076,13,0
649,801,104076,4,0
650,802,104076,20,0
651,803,104076,5,0
652,804,104076,14,0
653,805,104076,20,0
654,806,104000,11,0
655,807,104000,3,0
656,808,104000,4,0
657,815,342424,19,0
658,816,342424,4,0
659,817,342424,17,0
660,818,342424,0,22
661,826,342426,24,0
662,827,342426,15,0
663,828,342426,7,0
664,829,342426,5,0
665,830,104053,4,0
666,831,104053,5,0
667,832,104053,5,0
668,833,104121,4,0
669,834,104121,4,0
670,835,104121,4,0
671,836,104121,8,0
672,837,104121,4,0
673,838,104121,4,0
674,839,104121,7,0
675,840,104121,6,0
676,841,104121,10,0
677,842,104121,8,0
678,843,104121,11,0
679,844,104121,2,0
680,845,104121,9,0
681,846,104121,8,0
682,847,104121,4,0
683,848,104121,3,0
684,849,506856,3,0
685,850,506856,2,0
686,851,506856,2,0
687,852,342445,22,0
688,853,342445,22,0
689,854,342445,24,0
690,855,342445,23,0
691,856,342445,20,0
692,857,342445,21,0
693,858,506892,5,0
694,859,506892,6,0
695,860,506892,7,0
696,861,506892,4,0
697,862,342423,2,0
698,863,342423,15,0
699,864,342423,19,0
